,nOfCon,nOfM,Dc,sAEC,infScore,confidence_int_95
188,1,12,60,15000,0.0002,0.00039196079803980395
189,1,12,60,50000,0.0002,0.00039196079803980395
190,1,12,60,150000,0.0002,0.00039196079803980395
191,1,12,60,500000,0.0002,0.00039196079803980395
192,1,12,200,1500,0.2234,0.011545462810160534
193,1,12,200,5000,0.0354,0.00512207966638552
194,1,12,200,15000,0.0028,0.00146467483463054
195,1,12,200,50000,0.0004,0.0005542608310173108
196,1,12,200,150000,0.0002,0.00039196079803980395
197,1,12,200,500000,0.0002,0.00039196079803980395
198,1,12,600,1500,0.3702,0.01338414412307339
199,1,12,600,5000,0.2024,0.011137017342035522
200,1,12,600,15000,0.0386,0.005339699048897794
201,1,12,600,50000,0.0042,0.0017925933267754848
202,1,12,600,150000,0.0004,0.0005542608310173108
203,1,12,600,500000,0.0,0.0
204,1,12,2000,1500,0.4622,0.01381963073497986
205,1,12,2000,5000,0.382,0.01346781022735322
206,1,12,2000,15000,0.2196,0.011474819623366633
207,1,12,2000,50000,0.035,0.005094115035999874
208,1,12,2000,150000,0.0036,0.0016601188429748032
209,1,12,2000,500000,0.0002,0.00039196079803980395
210,1,12,6000,1500,0.477,0.013844622014341886
211,1,12,6000,5000,0.4506,0.013791483698456812
212,1,12,6000,15000,0.3878,0.013505841049383042
213,1,12,6000,50000,0.1902,0.010878404705985157
214,1,12,6000,150000,0.0358,0.0051498685764978505
215,1,12,6000,500000,0.0042,0.0017925933267754848
216,1,14,20,1500,0.0006,0.0006787601968294841
217,1,14,20,5000,0.0002,0.00039196079803980395
218,1,14,20,15000,0.0002,0.00039196079803980395
219,1,14,20,50000,0.0,0.0
220,1,14,20,150000,0.0,0.0
221,1,14,20,500000,0.0002,0.00039196079803980395
222,1,14,60,1500,0.0176,0.003644782187840585
223,1,14,60,5000,0.0012,0.0009596236862437275
224,1,14,60,15000,0.0002,0.00039196079803980395
225,1,14,60,50000,0.0,0.0
226,1,14,60,150000,0.0002,0.00039196079803980395
227,1,14,60,500000,0.0002,0.00039196079803980395
228,1,14,200,1500,0.18,0.010649132922449601
229,1,14,200,5000,0.0238,0.0042250217536954765
230,1,14,200,15000,0.0012,0.0009596236862437275
231,1,14,200,50000,0.0,0.0
232,1,14,200,150000,0.0,0.0
233,1,14,200,500000,0.0,0.0
234,1,14,600,1500,0.32,0.012930059241936983
235,1,14,600,5000,0.1454,0.009770903333305473
236,1,14,600,15000,0.0238,0.0042250217536954765
237,1,14,600,50000,0.0014,0.0010364082655015833
238,1,14,600,150000,0.0,0.0
239,1,14,600,500000,0.0004,0.0005542608310173108
240,1,14,2000,1500,0.4006,0.013582662544759035
241,1,14,2000,5000,0.3124,0.012846786770114929
242,1,14,2000,15000,0.1594,0.01014635189833272
243,1,14,2000,50000,0.0234,0.0041902251372450145
244,1,14,2000,150000,0.0014,0.0010364082655015833
245,1,14,2000,500000,0.0,0.0
246,1,14,6000,1500,0.438,0.01375232990878273
247,1,14,6000,5000,0.3948,0.013549057968257424
248,1,14,6000,15000,0.3264,0.012997121638762946
