,nOfCon,nOfM,Dc,sAEC,infScore,confidence_int_95
197,1,0.6,200,500000,0.0064,0.0022103795178204126
198,1,0.6,600,1500,0.386,0.013494254824924567
199,1,0.6,600,5000,0.2834,0.012491350485067658
200,1,0.6,600,15000,0.0854,0.007746679760310219
201,1,0.6,600,50000,0.0202,0.0038995587836574536
202,1,0.6,600,150000,0.01,0.0027579644667761766
203,1,0.6,600,500000,0.0054,0.002031384697392397
204,1,0.6,2000,1500,0.4244,0.013699955277474448
205,1,0.6,2000,5000,0.3888,0.01351219394248025
206,1,0.6,2000,15000,0.3058,0.012771212006509013
207,1,0.6,2000,50000,0.0866,0.007795796948407519
208,1,0.6,2000,150000,0.0246,0.004293683205454263
209,1,0.6,2000,500000,0.0086,0.002559438815990724
210,1,0.6,6000,1500,0.4418,0.013765083209454276
211,1,0.6,6000,5000,0.418,0.013671642780587854
212,1,0.6,6000,15000,0.3856,0.013491653700151067
213,1,0.6,6000,50000,0.293,0.012615793923491301
214,1,0.6,6000,150000,0.0876,0.007836384926533407
215,1,0.6,6000,500000,0.02,0.003880602015151773
216,1,0.7,20,1500,0.0156,0.0034349401224475517
217,1,0.7,20,5000,0.0062,0.002175787163120511
218,1,0.7,20,15000,0.002,0.001238372609516215
219,1,0.7,20,50000,0.0034,0.0016135074281824673
220,1,0.7,20,150000,0.0042,0.0017925933267754848
221,1,0.7,20,500000,0.0058,0.002104853846517615
222,1,0.7,60,1500,0.0948,0.008119840726713795
223,1,0.7,60,5000,0.0128,0.0031158649603601246
224,1,0.7,60,15000,0.0064,0.0022103795178204126
225,1,0.7,60,50000,0.0034,0.0016135074281824673
226,1,0.7,60,150000,0.0028,0.00146467483463054
227,1,0.7,60,500000,0.0036,0.0016601188429748032
228,1,0.7,200,1500,0.2598,0.012155286033129783
229,1,0.7,200,5000,0.0794,0.007494053784488072
230,1,0.7,200,15000,0.025,0.004327562824500645
231,1,0.7,200,50000,0.0072,0.002343517503924389
232,1,0.7,200,150000,0.0028,0.00146467483463054
233,1,0.7,200,500000,0.0024,0.0013562973408511865
234,1,0.7,600,1500,0.3146,0.01287130194303591
235,1,0.7,600,5000,0.229,0.011647051596004888
236,1,0.7,600,15000,0.0592,0.006541548669481869
237,1,0.7,600,50000,0.0128,0.0031158649603601246
238,1,0.7,600,150000,0.0046,0.0018756370514574508
239,1,0.7,600,500000,0.0038,0.001705438787878357
240,1,0.7,2000,1500,0.3764,0.013429162523880631
241,1,0.7,2000,5000,0.3384,0.013115474114983415
242,1,0.7,2000,15000,0.2452,0.011924694122165147
243,1,0.7,2000,50000,0.0524,0.006176596609525346
244,1,0.7,2000,150000,0.0148,0.003347064861516729
245,1,0.7,2000,500000,0.0078,0.0024384731721304623
246,1,0.7,6000,1500,0.3696,0.013379662319685053
247,1,0.7,6000,5000,0.3602,0.013306536859273339
248,1,0.7,6000,15000,0.338,0.013111682192609764
249,1,0.7,6000,50000,0.23,0.011664881996831343
250,1,0.7,6000,150000,0.0616,0.006664313592621524
251,1,0.7,6000,500000,0.011,0.002891116268848418
252,1,0.8,20,1500,0.0126,0.0030917395616060547
253,1,0.8,20,5000,0.0034,0.0016135074281824673
254,1,0.8,20,15000,0.0018,0.001174941123290865
255,1,0.8,20,50000,0.0012,0.0009596236862437275
256,1,0.8,20,150000,0.0018,0.001174941123290865
257,1,0.8,20,500000,0.0028,0.00146467483463054
258,1,0.8,60,1500,0.0628,0.006724608899497427
259,1,0.8,60,5000,0.009,0.002617755924451323
260,1,0.8,60,15000,0.003,0.0015159304469532895
261,1,0.8,60,50000,0.0026,0.0014115375151939815
262,1,0.8,60,150000,0.0014,0.0010364082655015833
263,1,0.8,60,500000,0.0014,0.0010364082655015833
264,1,0.8,200,1500,0.2148,0.011383566611005534
265,1,0.8,200,5000,0.0548,0.006308457839060194
266,1,0.8,200,15000,0.013,0.0031397952035124837
267,1,0.8,200,50000,0.0044,0.0018345935039675684
268,1,0.8,200,150000,0.0016,0.0011078560830721652
269,1,0.8,200,500000,0.0016,0.0011078560830721652
270,1,0.8,600,1500,0.2832,0.012488684436849222
271,1,0.8,600,5000,0.1928,0.010934908682343899
272,1,0.8,600,15000,0.0478,0.005913561340782727
273,1,0.8,600,50000,0.0104,0.0028120146708009897
274,1,0.8,600,150000,0.0052,0.0019936119550203347
275,1,0.8,600,500000,0.0014,0.0010364082655015833
276,1,0.8,2000,1500,0.3118,0.012840042426845793
277,1,0.8,2000,5000,0.2876,0.012546640822020848
278,1,0.8,2000,15000,0.2022,0.011132909041719508
279,1,0.8,2000,50000,0.0404,0.005457664961208227
280,1,0.8,2000,150000,0.009,0.002617755924451323
281,1,0.8,2000,500000,0.004,0.0017495676265866374
282,1,0.8,6000,1500,0.3184,0.01291285842797016
283,1,0.8,6000,5000,0.3132,0.012855740255745679
284,1,0.8,6000,15000,0.2838,0.012496673497343203
285,1,0.8,6000,50000,0.1764,0.01056521960457046
286,1,0.8,6000,150000,0.0442,0.005697255770561824
287,1,0.8,6000,500000,0.0082,0.0024997124160991
288,1,0.9,20,1500,0.0046,0.0018756370514574508
289,1,0.9,20,5000,0.002,0.001238372609516215
290,1,0.9,20,15000,0.0,0.0
291,1,0.9,20,50000,0.001,0.0008761002682341788
292,1,0.9,20,150000,0.0012,0.0009596236862437275
293,1,0.9,20,500000,0.0026,0.0014115375151939815
294,1,0.9,60,1500,0.048,0.005925297521643955
295,1,0.9,60,5000,0.0082,0.0024997124160991
296,1,0.9,60,15000,0.003,0.0015159304469532895
297,1,0.9,60,50000,0.0008,0.0007836863372548995
298,1,0.9,60,150000,0.001,0.0008761002682341788
299,1,0.9,60,500000,0.001,0.0008761002682341788
300,1,0.9,200,1500,0.1736,0.01049883435876574
301,1,0.9,200,5000,0.0364,0.005191228634225235
302,1,0.9,200,15000,0.0078,0.0024384731721304623
